FIP,YEAR,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,HuntLic,GunsAmmo,BackChk,PewQChng,BS1,BS2,BS3,State Code,Year Code,Cause of death,Cause of death Code,DEATHS,POPULATION,Crude Rate
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,Discharge from other and unspecified firearms,W34,47.0,4430141.0,1.1
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,Intentional self-harm by handgun discharge,X72,94.0,4430141.0,2.1
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,63.0,4430141.0,1.4
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4430141.0,6.3
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,Assault by handgun discharge,X93,37.0,4430141.0,0.8
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,"Assault by rifle, shotgun and larger firearm discharge",X94,29.0,4430141.0,0.7
1,1999,AL,0.537,0.036000000000000004,0,0,0.697916667,0.801742919,-9.0,0.520277205,-9.0,-9.0,0.240077994,-0.280923069,0.977564585,0,12.0,7.0,0.0,1.0,1999.0,Assault by other and unspecified firearm discharge,X95,227.0,4430141.0,5.1
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,Discharge from other and unspecified firearms,W34,33.0,4447100.0,0.7
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,Intentional self-harm by handgun discharge,X72,80.0,4447100.0,1.8
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,38.0,4447100.0,0.9
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,Intentional self-harm by other and unspecified firearm discharge,X74,309.0,4447100.0,6.9
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,Assault by handgun discharge,X93,29.0,4447100.0,0.7
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,"Assault by rifle, shotgun and larger firearm discharge",X94,28.0,4447100.0,0.6
1,2000,AL,0.5379999999999999,0.026,0,0,0.616071429,0.760084926,-9.0,0.575660014,0.435643214,0.606166292,0.243388897,-0.15688276,0.8495058390000001,0,12.0,7.91,0.09,1.0,2000.0,Assault by other and unspecified firearm discharge,X95,237.0,4447100.0,5.3
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,Discharge from other and unspecified firearms,W34,37.0,4467634.0,0.8
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,Intentional self-harm by handgun discharge,X72,65.0,4467634.0,1.5
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,54.0,4467634.0,1.2
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,Intentional self-harm by other and unspecified firearm discharge,X74,268.0,4467634.0,6
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,Assault by handgun discharge,X93,32.0,4467634.0,0.7
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,"Assault by rifle, shotgun and larger firearm discharge",X94,34.0,4467634.0,0.8
1,2001,AL,0.522,0.021,0,0,0.608247423,0.7903614459999999,0.51973616,-9.0,-9.0,-9.0,0.244352896,-0.156249474,0.882527128,0,12.0,8.73,0.27,1.0,2001.0,Assault by other and unspecified firearm discharge,X95,236.0,4467634.0,5.3
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,Discharge from other and unspecified firearms,W34,36.0,4480089.0,0.8
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,Intentional self-harm by handgun discharge,X72,56.0,4480089.0,1.2
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,47.0,4480089.0,1
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4480089.0,6.2
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,Assault by handgun discharge,X93,44.0,4480089.0,1
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4480089.0,0.5
1,2002,AL,0.5529999999999999,0.02,0,0,0.565656566,0.78313253,0.575970917,-9.0,0.44089847,-9.0,0.240564278,-0.16241798,0.951910469,0,12.0,9.45,0.55,1.0,2002.0,Assault by other and unspecified firearm discharge,X95,224.0,4480089.0,5
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,Discharge from other and unspecified firearms,W34,34.0,4503491.0,0.8
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,Intentional self-harm by handgun discharge,X72,54.0,4503491.0,1.2
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,49.0,4503491.0,1.1
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,Intentional self-harm by other and unspecified firearm discharge,X74,296.0,4503491.0,6.6
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,Assault by handgun discharge,X93,36.0,4503491.0,0.8
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,"Assault by rifle, shotgun and larger firearm discharge",X94,26.0,4503491.0,0.6
1,2003,AL,0.504,0.032,0,0,0.697916667,0.781176471,-9.0,-9.0,-9.0,0.495891685,0.237965596,-0.193514435,0.971231241,0,12.0,10.09,0.91,1.0,2003.0,Assault by other and unspecified firearm discharge,X95,260.0,4503491.0,5.8
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,Discharge from other and unspecified firearms,W34,27.0,4530729.0,0.6
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,Intentional self-harm by handgun discharge,X72,53.0,4530729.0,1.2
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,4530729.0,0.9
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,Intentional self-harm by other and unspecified firearm discharge,X74,280.0,4530729.0,6.2
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,Assault by handgun discharge,X93,34.0,4530729.0,0.8
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,"Assault by rifle, shotgun and larger firearm discharge",X94,21.0,4530729.0,0.5
1,2004,AL,0.516,0.018000000000000002,0,0,0.5773195879999999,0.718468468,0.5255191889999999,-9.0,0.504181723,0.509307256,0.239216106,-0.19681841,0.950489514,0,12.0,10.64,1.36,1.0,2004.0,Assault by other and unspecified firearm discharge,X95,207.0,4530729.0,4.6
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,Discharge from other and unspecified firearms,W34,34.0,4569805.0,0.7
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,Intentional self-harm by handgun discharge,X72,54.0,4569805.0,1.2
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,45.0,4569805.0,1
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,Intentional self-harm by other and unspecified firearm discharge,X74,270.0,4569805.0,5.9
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,Assault by handgun discharge,X93,30.0,4569805.0,0.7
1,2005,AL,0.485,0.044,0,0,0.645833333,0.699316629,-9.0,-9.0,-9.0,-9.0,0.236232687,-0.233782162,0.928751053,0,12.0,11.09,1.91,1.0,2005.0,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4569805.0,0.5
